country_code;region_name;iata;icao;airport;latitude;longitude
CO;Caqueta;FLA;SKFL;Gustavo Artunduaga Paredes Airport;1,58919;-75,56440
CO;Caqueta;SVI;SKSV;Eduardo Falla Solano Airport;2,15217;-74,76630
CO;Caqueta;TQS;SKTQ;Captain Ernesto Esguerra Cubides Air Base;0,74590;-75,23400
CO;Casanare;EYP;SKYP;El Alcaravan Airport;5,31911;-72,38400
CO;Casanare;HTZ;SKHC;Hato Corozal Airport;6,15000;-71,75000
CO;Casanare;NUH;;Nunchia Airport;5,65000;-72,20000
CO;Casanare;ORC;SKOE;Orocue Airport;4,79222;-71,35640
CO;Casanare;PRE;;Pore Airport;5,73333;-71,98330
CO;Casanare;PZA;SKPZ;Paz de Ariporo Airport;5,87615;-71,88660
CO;Casanare;SQE;;San Luis de Palenque Airport;5,40018;-71,70010
CO;Casanare;TDA;SKTD;Trinidad Airport;5,43278;-71,66250
CO;Casanare;TTM;;Tablon de Tamara Airport;5,72448;-72,10300
CO;Cauca;GPI;SKGP;Guapi Airport (Juan Casiano Airport);2,57013;-77,89860
CO;Cauca;LMX;;Lopez de Micay Airport;3,05000;-77,55000
CO;Cauca;PPN;SKPP;Guillermo Leon Valencia Airport;2,45440;-76,60930
CO;Cauca;TBD;SKMB;Timbiqui Airport;2,76700;-77,66700
CO;Cesar;DZI;;Codazzi Airport;10,09660;-73,23370
CO;Cesar;GRA;;Gamarra Airport;8,34197;-73,70570
CO;Cesar;HAY;SKAG;Hacaritama Airport;8,24722;-73,58190
CO;Cesar;VUP;SKVP;Alfonso Lopez Pumarejo Airport;10,43500;-73,24950
CO;Choco;ACD;SKAD;Alcides Fernandez Airport;8,51667;-77,30000
CO;Choco;BHF;SKCP;Bahia Cupica Airport;6,55000;-77,32630
CO;Choco;BSC;SKBS;Jose Celestino Mutis Airport;6,20292;-77,39470
CO;Choco;COG;SKCD;Mandinga Airport;5,08333;-76,70000
CO;Choco;CPB;SKCA;Capurgana Airport;8,63333;-77,35000
CO;Choco;GGL;;Gilgal Airport;8,33333;-77,08330
CO;Choco;JUO;SKJU;Jurado Airport;6,51667;-76,60000
CO;Choco;NQU;SKNQ;Reyes Murillo Airport;5,69640;-77,28060
CO;Choco;UIB;SKUI;El Carano Airport;5,69076;-76,64120
CO;Cordoba;AYA;;Ayapel Airport;8,30000;-75,15000
CO;Cordoba;LRI;;Lorica Airport;9,03333;-75,70000
CO;Cordoba;MTB;SKML;Montelibano Airport;7,97174;-75,43250
CO;Cordoba;MTR;SKMR;Los Garzones Airport;8,82374;-75,82580
CO;Cordoba;PLC;;Planeta Rica Airport;8,40000;-75,60000
CO;Cordoba;SCA;;Santa Catalina Airport;8,50000;-76,17500
CO;Cundinamarca;EUO;;Paratebueno Airport;4,38333;-73,20000
CO;Cundinamarca;HRR;;La Herrera Airport;3,21667;-75,85000
CO;Cundinamarca;MND;;Medina Airport;4,51667;-73,28330
CO;Cundinamarca;PAL;SKPQ;Captain German Olano Moreno Air Base;5,48361;-74,65740
CO;Distrito Capital de Bogota;BOG;SKBO;El Dorado International Airport;4,70159;-74,14690
CO;Guainia;MHF;;Morichal Airport;1,75000;-69,91670
CO;Guainia;NAD;;Macanal Airport;2,56667;-67,58330
CO;Guainia;NBB;SKBM;Barranco Minas Airport;3,48333;-69,80000
CO;Guainia;PDA;SKPD;Obando Airport;3,85353;-67,90620
CO;Guaviare;AYI;;Yari Airport;-0,38333;-72,26670
CO;Guaviare;MFS;SKMF;Miraflores Airport;1,35000;-71,94440
CO;Guaviare;SJE;SKSJ;Jorge Enrique Gonzalez Torres Airport;2,57969;-72,63940
CO;Huila;CJD;;Candilejas Airport;2,06667;-74,58330
CO;Huila;NVA;SKNV;Benito Salas Airport;2,95015;-75,29400
CO;Huila;PCC;;Puerto Rico Airport;1,91667;-75,16670
CO;Huila;PTX;SKPI;Contador Airport;1,85777;-76,08570
CO;Huila;SRO;;Santana Ramos Airport;2,21667;-75,25000
CO;La Guajira;MCJ;SKLM;Jorge Isaacs Airport (La Mina Airport);11,23250;-72,49010
CO;La Guajira;RCH;SKRH;Almirante Padilla Airport;11,52620;-72,92600
CO;La Guajira;SJH;;San Juan del Cesar Airport;10,76670;-73,01670
